Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page;Domain
;Registration is not necessary, but heavily pressured;Misdirection;Visual Interference;Checkout Process;No;https://apexis.sk/objednavka;apexis.sk
;Shows their reaction for the Testimonials of Uncertain Origin on Heureka.cz in a form like they were the actual testimonial;Misdirection;Visual Interference;Product Detail;No;https://eshop.alfafit.cz/extrifit-cfm-instant-whey-80-1000-g/;eshop.alfafit.cz
;Use email or sign up with social network profile.;Misdirection;Visual Interference;Checkout Process;No;https://postovnezdarma.cz/kosik/3/;postovnezdarma.cz
;Use email or sign up with social network profile.;Misdirection;Visual Interference;Checkout Process;No;https://skladovky.cz/kosik/3/;skladovky.cz
;Preselected the most expensive variation;Misdirection;Pressured Selling;Product Detail;No;https://www.fotokeramika.cz/ozdoby-na-hroby/sochy-jezise-krista/383-1004-kristus-na-krizi;www.fotokeramika.cz
;Cannot buy without creating an account;Forced Action;Forced Enrollment;Checkout Process;No;http://www.kovarna.amstuning.cz/authentication.php?back=order.php?step=1;www.kovarna.amstuning.cz
;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.kutiliste.cz/sklenik-gutta-gardentec-classic-rozmery-2-x-3-m-zaskleni-polykarbonat-4-mm#detail-3;www.kutiliste.cz
;No information how the tertimonials were gathered;Social Proof;Testimonials of Uncertain Origin;Product Detail;??;https://www.lopra.cz/p/5175801-francouzske-povleceni-saten-220x200-70x90cm-sonet-grey-vyber-zapinani-zipovy-uzaver;www.lopra.cz
;Forced registration;Forced Action;Forced Enrollment;Checkout Process;No;https://www.martinus.cz/login?source=cart&redirect=%2Fkosik%2Fdorucenie-platba;www.martinus.cz
;User is coercered to register to continue in checkout process;Misdirection;Visual Interference;Checkout Process;No;https://www.topvet.cz/index.php?&desktop=eshop&action=objednavka&id=0;www.topvet.cz
;Need to register before checkout;Forced Action;Forced Enrollment;Cart Detail;No;http://www.yorkshop.cz/yorkshop/authentication.php?back=order.php?step=1;www.yorkshop.cz
+15 - ochrana zásilky;Preselected insurance;Sneaking;Sneak into Basket;Checkout Process;No;https://www.megaknihy.cz/rychla-objednavka;www.megaknihy.cz
... nakupte ještě za 1458Kč a máte výdejnu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.zabezpecovaci-zarizeni.cz/inshop/scripts/shop.aspx?action=showshoppingcart;www.zabezpecovaci-zarizeni.cz
1 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.azsamolepky.cz/samolepky-na-zed-kolekce-krasobruslarek/;www.azsamolepky.cz
1 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.gigaeshop.cz/DAMSKY-PARALYZER-S-LED-SVITILNOU-ANGELA-M-500-d54.htm;www.gigaeshop.cz
1 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.solarnikosmetika.eu/Bronze-Satisfaction-Total-Bronzer-15-ml-d19.htm;www.solarnikosmetika.eu
10 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.dejmunej.cz/natures-menu-country-hunter-kapsicka-pro-psy-kruti-z-farmy-150-g/;www.dejmunej.cz
107 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.beautyczech.cz/jednorazove-prosteradlo-vlaknina-quickepil-60cm-x-80m/;www.beautyczech.cz
109 lidí navštívilo tento web za posledních 24 hod. ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.trx-baterie.cz/Akyga-AK-SP-05A-prepetova-ochrana-1-8m-5-zasuvek-cerna-d1990.htm;www.trx-baterie.cz
11 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.klubsoft.cz/panska-tricka-s-kratkym-rukavem/tricko-zralok-3d/;www.klubsoft.cz
11 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.oksport.eu/oksport/eshop/0/0/5/7733-Panske-zimni-cyklisticke-kalhoty-s-cyklovlozkou-Rapone-Pad-MP1737-cerne;www.oksport.eu
113 lidí navštívilo tento web za posledních 30 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://shop.grenzemarkt.cz/sencor-rucni-vysavac-svc-190b/;shop.grenzemarkt.cz
117 lidí navštívilo tento web za posledních 24 hod. ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.maxidilna.cz/baterie-termostaticka-sprchova-univerzalni-100mm-keramicky-ventil-chrom-VITTORIA-d57042.htm;www.maxidilna.cz
118 lidí navštívilo tento web za posledních 24 hod.;;Social Proof;Activity Message;Product Detail;??;https://www.sanitcare.cz/antigenni-rapid-test-ze-slin-na-covid-19--rapid-for/;www.sanitcare.cz
118 lidí navštívilo tento web za posledních 24 hod. ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://www.sanitcare.cz/antigenni-rapid-test-ze-slin-na-covid-19--rapid-for/;www.sanitcare.cz
