Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page
S rychlou registrací potvrzujete souhlas se zpracováním osobních údajů a souhlas s občasným zasláním zpravodaje.;Buying a product without a registration leads to a signing for newsletter;Forced Action;Forced Enrollment;Cart page;No;https://www.omat.cz/kovova-obdelnik-na-sirku/50x60x20cm
"Nechcete-li v rámci programu Ověřeno zákazníky zaslat dotazník spokojenosti s nákupem, dokončete
prosím Vaši objednávku zde:";A button is in the text, much smaller and with small contrast. The more visible button leads to signing up for an additional email.;Misdirection;Visual Interference;Cart page;No;https://www.omat.cz/kosik
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.tepelne-cerpadla.cz/tep-cerp-vzduchvoda/1584-hotjet-10-one2-plus-65c-tepelne-cerpadlo-vzduch-voda-kompaktni-provedeni-s-hydroboxem-300-l-kotlikove-dotace-a-nzu-svt--4401577509266.html
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.krbova-kamna-kotel.cz/kotle-na-pelety/2806-opop-biopel-line-150-automaticky-kotel-na-pelety-150-kw-kotlikove-dotace-a-nzu-svt.html
AKČNÍ NABÍDKA;No deadline;Urgency;Limited-time Message;Product Page;Yes;http://www.trendylights.cz/katalog/akcni-nabidka/ledmed-plafoniera-305-led-vysoce-usporne-stropninastenne-svitidlo-pn31100005-pn31200005-panlux
;Forcing using into signing for newsletter;Forced Action;Forced Enrollment;Registration Page;No;http://www.trendylights.cz/registrace
Nezúčastnit se nezávislého hodnocení nákupu.;Double negative;Misdirection;Trick Questions;Checkout Process;No;https://www.profesionalnikosmetika.cz/objednavka/
Poslední kusy!;Product detail;Scarcity;Low-stock Message;Cart Page;No;https://inter-deco.cz/cs_CZ/basket
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.levnesauny.cz/infracervene-sauny/2012-infracervena-sauna-exclusive-one-cerveny-cedr-90x90x200cm-pro-1-osobu-triple-zarice-8711577161262.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://www.levnesauny.cz/infracervene-sauny/2012-infracervena-sauna-exclusive-one-cerveny-cedr-90x90x200cm-pro-1-osobu-triple-zarice-8711577161262.html
